"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1783958";"";"None";"359.39";"0";"4.29";"3{7}";"CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2ccccn2)C1";"IC50";"'='";"560.0";"nM";"6.25";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1786003";"Antagonist activity at human histamine H1 receptor in SK-N-SH cells assessed as inhibition of histamine-induced calcium level increase during phase-1 compound incubated before histamine addition by Fura-2 based fluorometric assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1782051";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307745";"";"";"";"0.56"
"CHEMBL564";"PROMAZINE";"4.0";"284.43";"0";"4.24";"PROMAZINE";"CN(C)CCCN1c2ccccc2Sc2ccccc21";"IC50";"'='";"3.435";"nM";"8.46";"";"";"UO_0000065";"29.76";"0.58";"4.22";"130.62";"0";"CHEMBL1909156";"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";"";"";"";"0.003435"
"CHEMBL315772";"";"None";"328.84";"0";"4.06";"3d";"CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1";"IC50";"'='";"2.344";"nM";"8.63";"";"";"UO_0000065";"26.24";"0.51";"4.57";"54.93";"0";"CHEMBL697643";"Binding affinity at human cloned Histamine H1 receptor expressed in CHO cells by [3H]pyrilamine displacement.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135381";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";"";"8.63"
"CHEMBL96141";"";"None";"737.73";"2";"7.17";"10";"CCOCCn1c(C(=O)C2CCN(CCC3(c4ccc(Cl)c(Cl)c4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21";"IC50";"'='";"6.47";"nM";"8.19";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.47"
"CHEMBL94834";"";"None";"772.84";"2";"8.04";"17";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(C(F)(F)F)cc3)C2)cc(OC)c1OC";"IC50";"'='";"6.33";"nM";"8.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.33"
"CHEMBL17157";"TERFENADINE";"4.0";"471.69";"1";"6.45";"terfenadine";"CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1";"IC50";"'='";"563.0";"nM";"6.25";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL691452";"Antagonism of the human histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150559";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"563.0"
"CHEMBL325258";"";"None";"377.49";"0";"3.49";"41";"N#Cc1ccc(CCOC(=O)N2CCN(CCCc3ccccc3)CC2)cc1";"IC50";"'='";"280.0";"nM";"6.55";"";"";"UO_0000065";"17.36";"0.32";"3.06";"11.58";"0";"CHEMBL691451";"Inhibition of histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134625";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"280.0"
"CHEMBL568400";"";"None";"422.36";"0";"4.31";"4h";"Cc1cc(N(C)C)nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(Cl)c(Cl)c3)CC2)n1";"IC50";"'='";"390.0";"nM";"6.41";"";"";"UO_0000065";"15.17";"0.31";"2.10";"9.14";"0";"CHEMBL1037062";"Displacement of [3H]pyrilamine from human histamine H1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156067";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"0.39"
"CHEMBL2158814";"";"None";"526.49";"1";"4.71";"18, AZD-3778";"Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"14.05";"0.30";"2.69";"9.37";"0";"CHEMBL2184861";"Binding affinity to histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176887";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"40.0"
"CHEMBL331188";"";"None";"295.39";"0";"2.80";"3";"CN(C)CC1CC2c3cccnc3Cc3ccccc3N2O1";"IC50";"'='";"16.6";"nM";"7.78";"";"";"UO_0000065";"26.34";"0.48";"4.98";"27.20";"0";"CHEMBL697646";"Binding affinity against Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135009";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"-7.78"
"CHEMBL1090433";"";"None";"310.47";"0";"4.55";"15a, (+)-S";"C[C@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12";"IC50";"'='";"256000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1106977";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO Flp-In cells after 90 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156278";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3308072";"";"";"";"256.0"
"CHEMBL4115693";"";"None";"297.42";"0";"3.52";"BDBM60636";"O[C@@H]1Cc2ccccc2C(=C2CCNCC2)c2ccsc21";"IC50";"'='";"23000.0";"nM";"4.64";"";"328079";"UO_0000065";"15.60";"0.30";"1.12";"14.38";"0";"CHEMBL3887282";"Histamine H1 Receptors Binding Assay: Affinities of the test compounds for peripheral human histamine H-1-receptors were assessed using receptor-binding assays. The specific binding of the radioactive ligand to the receptor was defined as the difference between total binding and nonspecific binding, determined in the presence of excess unlabeled ligand. [3H]-histamine was used as the ligand in this study and the affinity values were determined according to the Cheng-Prusoff equation.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886156";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"23000.0"
"CHEMBL155314";"";"None";"279.47";"0";"4.59";"1h";"NCCCCCCCCCCCCCCc1c[nH]cn1";"IC50";"'='";"1995.26";"nM";"5.70";"";"";"UO_0000065";"20.40";"0.39";"1.11";"10.42";"0";"CHEMBL692983";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"-5.7"
"CHEMBL94906";"";"None";"686.83";"2";"5.89";"8";"CCOCCn1c(C(=O)C2CCN(CCC3(c4ccc(F)cc4)CCN(Cc4cc(OC)c(OC)c(OC)c4)C3=O)CC2)nc2ccccc21";"IC50";"'='";"6.6";"nM";"8.18";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.6"
"CHEMBL5555858";"";"None";"412.92";"0";"3.57";"I-3";"O=C(O)CC(O)CN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1";"IC50";"'='";"125.7";"nM";"6.90";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5513836";"Antagonist activity at human H1 receptor expressed in PathHunter CHO-K1 HRH1 beta-arrestin cells preincubated for 30 mins followed by agonist addition at 6 times EC80 and measured after 90 to 180 mins by PathHunter assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"PathHunter CHO-K1 HRH1 beta-arrestin";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5512623";"1";"Scientific Literature";"Eur J Med Chem";"2024";"None";"TIME_Lower = 30.0 min | TIME_Upper = 210.0 min";"ANTAGONIST";"";"125.7"
"CHEMBL5558681";"";"None";"473.02";"1";"6.06";"II-3";"O=C(O)c1ccc(CCCN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)cc1";"IC50";"'='";"64.51";"nM";"7.19";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5513836";"Antagonist activity at human H1 receptor expressed in PathHunter CHO-K1 HRH1 beta-arrestin cells preincubated for 30 mins followed by agonist addition at 6 times EC80 and measured after 90 to 180 mins by PathHunter assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"PathHunter CHO-K1 HRH1 beta-arrestin";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5512623";"1";"Scientific Literature";"Eur J Med Chem";"2024";"None";"TIME_Lower = 30.0 min | TIME_Upper = 210.0 min";"ANTAGONIST";"";"64.51"
"CHEMBL5567709";"";"None";"515.10";"2";"6.73";"III-3";"CC(C)(C(=O)O)c1ccccc1CCCN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1";"IC50";"'='";"44.18";"nM";"7.36";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5513836";"Antagonist activity at human H1 receptor expressed in PathHunter CHO-K1 HRH1 beta-arrestin cells preincubated for 30 mins followed by agonist addition at 6 times EC80 and measured after 90 to 180 mins by PathHunter assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"PathHunter CHO-K1 HRH1 beta-arrestin";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5512623";"1";"Scientific Literature";"Eur J Med Chem";"2024";"None";"TIME_Lower = 30.0 min | TIME_Upper = 210.0 min";"ANTAGONIST";"";"44.18"
"CHEMBL914";"FEXOFENADINE";"4.0";"501.67";"2";"5.51";"Fexofenadine";"CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1";"IC50";"'='";"78.0";"nM";"7.11";"";"";"UO_0000065";"14.17";"0.26";"1.60";"8.78";"1";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307512";"";"";"";"78.0"
"CHEMBL1774498";"";"None";"531.66";"1";"2.55";"13i";"Cn1c(N2CCCN(CCCN3c4ccccc4CCc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O";"IC50";"'='";"54.0";"nM";"7.27";"";"";"UO_0000065";"13.67";"0.25";"4.72";"7.98";"0";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307512";"";"";"";"54.0"
"CHEMBL1091790";"";"None";"310.47";"0";"4.55";"rac-10";"CC(c1ccncc1)c1c(CCN(C)C)sc2ccccc12";"IC50";"'='";"23000.0";"nM";"4.64";"";"";"UO_0000065";"14.94";"0.29";"0.09";"28.76";"0";"CHEMBL1106977";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO Flp-In cells after 90 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156278";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3308072";"";"";"";"23.0"
"CHEMBL315834";"";"None";"312.39";"0";"3.54";"3q";"CN(C)CC1CC2c3ccccc3Cc3c(F)cccc3N2O1";"IC50";"'='";"1.738";"nM";"8.76";"";"";"UO_0000065";"28.04";"0.52";"5.22";"55.76";"0";"CHEMBL697643";"Binding affinity at human cloned Histamine H1 receptor expressed in CHO cells by [3H]pyrilamine displacement.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135381";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";"";"8.76"
"CHEMBL116735";"";"None";"480.57";"1";"5.79";"40";"O=C(CCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1";"IC50";"'='";"1660.0";"nM";"5.78";"";"";"UO_0000065";"12.03";"0.23";"-0.01";"24.54";"0";"CHEMBL691451";"Inhibition of histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134625";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"1660.0"
"CHEMBL309904";"";"None";"350.51";"0";"4.96";"2f";"CC(C)N(CC1CC2c3ccccc3Cc3ccccc3N2O1)C(C)C";"IC50";"'='";"151.36";"nM";"6.82";"";"";"UO_0000065";"19.46";"0.36";"1.86";"43.41";"0";"CHEMBL857171";"Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135380";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";"";"6.82"
"CHEMBL1172";"DESLORATADINE";"4.0";"310.83";"0";"4.02";"DESLORATADINE";"Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1";"IC50";"'='";"9.977";"nM";"8.00";"";"";"UO_0000065";"25.74";"0.50";"3.98";"32.11";"0";"CHEMBL1909156";"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";"";"";"";"0.009977"
"CHEMBL1108";"DROPERIDOL";"4.0";"379.44";"0";"3.68";"DROPERIDOL";"O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1";"IC50";"'='";"4519.0";"nM";"5.34";"";"";"UO_0000065";"14.09";"0.26";"1.66";"9.20";"0";"CHEMBL1909156";"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";"";"";"";"4.519"
"CHEMBL316705";"";"None";"788.94";"3";"7.09";"1q";"COC(=O)c1ccccc1OCCCn1c(C(=O)C2CCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21";"IC50";"'='";"994.0";"nM";"6.00";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL691452";"Antagonism of the human histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150559";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"994.0"
"CHEMBL3805559";"";"None";"425.50";"0";"4.37";"21";"CNC(=O)c1cccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1";"IC50";"'='";"2560.0";"nM";"5.59";"";"";"UO_0000065";"13.14";"0.25";"1.22";"8.27";"0";"CHEMBL3806812";"Antagonistic activity at histamine1 receptor (unknown origin) after 10 mins by FLIPR assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3804825";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";"2560.0"
"CHEMBL1774497";"";"None";"517.63";"1";"2.62";"13h";"Cn1c(N2CCCN(CCCN3c4ccccc4CCc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O";"IC50";"'='";"70.0";"nM";"7.16";"";"";"UO_0000065";"13.82";"0.26";"4.53";"7.86";"0";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307512";"";"";"";"70.0"
"CHEMBL493677";"";"None";"389.34";"0";"4.82";"30";"CC(C)(C)CCN1CC[C@H](CNC(=O)c2cc(Cl)cc(Cl)c2)[C@H](F)C1";"IC50";"'='";"6000.0";"nM";"5.22";"";"";"UO_0000065";"13.41";"0.29";"0.40";"16.15";"0";"CHEMBL1033100";"Inhibition of histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140166";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"6.0"
"CHEMBL319535";"";"None";"730.88";"2";"7.44";"9";"CC(C)Oc1cccc(CC(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc4c(c3)OCO4)C2)c1";"IC50";"'='";"6.6";"nM";"8.18";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.6"
"CHEMBL327888";"";"None";"728.89";"3";"5.88";"29";"CCOCCn1c(C(=O)C2CCN(CCC3(c4ccc(OC)c(OC)c4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21";"IC50";"'='";"6.2";"nM";"8.21";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"6.2"
"CHEMBL411691";"";"None";"730.86";"2";"6.58";"34";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(C(=O)O)cc4)CC3)(c3ccccc3)C2)cc(OC)c1OC";"IC50";"'='";"4.47";"nM";"8.35";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL840937";"Antagonistic activity against histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"4.47"
"CHEMBL534";"KETOTIFEN";"4.0";"309.43";"0";"4.01";"Ketotifen";"CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"29.09";"0.56";"4.99";"44.31";"0";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307512";"";"";"";"1.0"
"CHEMBL1774504";"";"None";"516.60";"1";"2.71";"(Z)-19d";"Cn1c(N2CCCN(CC/C=C3/c4ccccc4COc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O";"IC50";"'='";"63.0";"nM";"7.20";"";"";"UO_0000065";"13.94";"0.26";"4.49";"7.42";"0";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307512";"";"";"";"63.0"
"CHEMBL511";"PYRILAMINE";"4.0";"285.39";"0";"2.66";"pyrilamine";"COc1ccc(CN(CCN(C)C)c2ccccn2)cc1";"IC50";"'='";"1.8";"nM";"8.74";"";"";"UO_0000065";"30.64";"0.57";"6.08";"30.58";"0";"CHEMBL982020";"Inhibition of histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155111";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"1.8"
"CHEMBL1774503";"";"None";"502.57";"1";"2.32";"(Z)-19c";"Cn1c(N2CCN(CC/C=C3/c4ccccc4COc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O";"IC50";"'='";"325.0";"nM";"6.49";"";"";"UO_0000065";"12.91";"0.24";"4.17";"6.69";"0";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307512";"";"";"";"325.0"
"CHEMBL589390";"LATREPIRDINE";"3.0";"319.45";"0";"3.88";"3{1}, I, Dimebone, dimebolin";"Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1786003";"Antagonist activity at human histamine H1 receptor in SK-N-SH cells assessed as inhibition of histamine-induced calcium level increase during phase-1 compound incubated before histamine addition by Fura-2 based fluorometric assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1782051";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307745";"";"";"";"0.16"
"CHEMBL157217";"";"None";"277.46";"0";"4.17";"1j";"c1nc(CCCCCCCCCCN2CCCC2)c[nH]1";"IC50";"'='";"398.11";"nM";"6.40";"";"";"UO_0000065";"23.07";"0.44";"2.23";"20.05";"0";"CHEMBL692983";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"-6.4"
